track_id,title,artist,total_artist_pop,total_track_pop,era
446067,If I Ain't Got You,Alicia Keys,1506.641972787,215.71271184399998,00
457431,My Place,Nelly,1717.443932815,107.691256313,00
446996,Yeah!,Usher,1820.677346642,524.242991054,00
446996,Yeah!,Ludacris,1838.490345323,524.242991054,00
455753,Flap Your Wings,Nelly,1717.443932815,1.488423667,00
447955,Jesus Walks,Kanye West,1641.642643231,72.718750375,00
451429,Confessions Part II,Usher,1820.677346642,147.849221035,00
449907,Burn,Usher,1820.677346642,192.570207808,00
436744,Naughty Girl,Beyonce,1670.307081989,116.62390619,00
451501,Talk About Our Love,Kanye West,1641.642643231,3.5991672759999997,00
448408,All Falls Down,Kanye West,1641.642643231,75.681468479,00
444824,99 Problems,JAY-Z,1420.865587515,4.4616410029999996,00
444811,Dirt Off Your Shoulder,JAY-Z,1420.865587515,111.35334175999999,00
444052,Splash Waterfalls,Ludacris,1838.490345323,79.756233896,00
442907,Slow Jamz,Kanye West,1641.642643231,131.304887626,00
440882,"Me, Myself And I",Beyonce,1670.307081989,106.70664544799999,00
437233,Through The Wire,Kanye West,1641.642643231,48.093762649,00
443693,You Don't Know My Name,Alicia Keys,1506.641972787,110.862971531,00
439634,Stand Up,Ludacris,1838.490345323,167.649462983,00
444025,Change Clothes,JAY-Z,1420.865587515,43.700167238,00
437227,Baby Boy,Beyonce,1670.307081989,186.250357749,00
439308,Holidae In,Ludacris,1838.490345323,107.661396279,00
436477,Shake Ya Tailfeather,Nelly,1717.443932815,154.347335458,00
435490,Crazy In Love,Beyonce,1670.307081989,349.792120136,00
435490,Crazy In Love,JAY-Z,1420.865587515,349.792120136,00
431601,P.I.M.P.,50 Cent,1550.120223309,125.369945272,00
435192,Frontin',JAY-Z,1420.865587515,97.004907875,00
432815,Magic Stick,50 Cent,1550.120223309,128.848677784,00
431597,21 Questions,50 Cent,1550.120223309,140.00014536,00
434375,Act A Fool,Ludacris,1838.490345323,5.165856255,00
429505,In Da Club,50 Cent,1550.120223309,189.346144107,00
429670,Beware Of The Boys (Mundian To Bach Ke),JAY-Z,1420.865587515,4.046538959,00
428454,Excuse Me Miss,JAY-Z,1420.865587515,59.455152133,00
428204,Gossip Folks,Ludacris,1838.490345323,72.17830420599999,00
425022,Wanksta,50 Cent,1550.120223309,47.922916057,00
426509,'03 Bonnie & Clyde,JAY-Z,1420.865587515,245.35862986799998,00
426509,'03 Bonnie & Clyde,Beyonce,1670.307081989,245.35862986799998,00
422962,Air Force Ones,Nelly,1717.443932815,108.74720943,00
422005,Dilemma,Nelly,1717.443932815,201.117133831,00
422006,Gangsta Lovin',Alicia Keys,1506.641972787,128.248703652,00
415174,Move B***h,Ludacris,1838.490345323,63.628717634,00
419263,Hot In Herre,Nelly,1717.443932815,187.08613885399998,00
416304,I Need A Girl (Part One),Usher,1820.677346642,127.920941943,00
409289,U Don't Have To Call,Usher,1820.677346642,128.26094019299998,00
413074,Saturday (Oooh! Ooooh!),Ludacris,1838.490345323,16.879043893,00
407022,Girlfriend,Nelly,1717.443932815,82.858787399,00
411624,Welcome To Atlanta,Ludacris,1838.490345323,7.887807308,00
407812,U Got It Bad,Usher,1820.677346642,205.31972670300001,00
410354,Roll Out (My Business),Ludacris,1838.490345323,36.683475252,00
407876,A Woman's Worth,Alicia Keys,1506.641972787,76.870522253,00
408316,#1,Nelly,1717.443932815,30.657216108,00
402410,Fallin',Alicia Keys,1506.641972787,196.932503422,00
409359,"Girls, Girls, Girls",JAY-Z,1420.865587515,20.602599596,00
403803,Where The Party At,Nelly,1717.443932815,147.141816892,00
406524,Izzo (H.O.V.A.),JAY-Z,1420.865587515,74.233206901,00
404074,U Remind Me,Usher,1820.677346642,149.655170341,00
405352,Area Codes,Ludacris,1838.490345323,14.993197716,00
393130,Ride Wit Me,Nelly,1717.443932815,137.71932635599998,00
